No,Freq,Bilah,Path
0,1253.3018978898156,pelog1,/content/drive/MyDrive/dataset_saron/dataset_raw/wav/pelog1.1.1.wav
1,1253.2713539690942,pelog1,/content/drive/MyDrive/dataset_saron/dataset_raw/wav/pelog1.1.2.wav
2,1253.2554719979084,pelog1,/content/drive/MyDrive/dataset_saron/dataset_raw/wav/pelog1.1.3.wav
3,1253.2105719917524,pelog1,/content/drive/MyDrive/dataset_saron/dataset_raw/wav/pelog1.2.1.wav
4,1253.2668699105955,pelog1,/content/drive/MyDrive/dataset_saron/dataset_raw/wav/pelog1.2.2.wav
5,1253.2289190437068,pelog1,/content/drive/MyDrive/dataset_saron/dataset_raw/wav/pelog1.2.3.wav
6,274.9928485256261,pelog2,/content/drive/MyDrive/dataset_saron/dataset_raw/wav/pelog2.1.1.wav
7,274.9882938802296,pelog2,/content/drive/MyDrive/dataset_saron/dataset_raw/wav/pelog2.1.2.wav
8,274.98916046270114,pelog2,/content/drive/MyDrive/dataset_saron/dataset_raw/wav/pelog2.1.3.wav
9,274.97491998450243,pelog2,/content/drive/MyDrive/dataset_saron/dataset_raw/wav/pelog2.2.1.wav
10,274.98458209271905,pelog2,/content/drive/MyDrive/dataset_saron/dataset_raw/wav/pelog2.2.2.wav
11,274.98712285622537,pelog2,/content/drive/MyDrive/dataset_saron/dataset_raw/wav/pelog2.2.3.wav
12,317.4322775528383,pelog3,/content/drive/MyDrive/dataset_saron/dataset_raw/wav/pelog3.1.1.wav
13,317.4285167746908,pelog3,/content/drive/MyDrive/dataset_saron/dataset_raw/wav/pelog3.1.2.wav
14,317.4295830348352,pelog3,/content/drive/MyDrive/dataset_saron/dataset_raw/wav/pelog3.1.3.wav
15,317.3854288440543,pelog3,/content/drive/MyDrive/dataset_saron/dataset_raw/wav/pelog3.2.1.wav
16,317.4131364508301,pelog3,/content/drive/MyDrive/dataset_saron/dataset_raw/wav/pelog3.2.2.wav
17,317.4215162048277,pelog3,/content/drive/MyDrive/dataset_saron/dataset_raw/wav/pelog3.2.3.wav
18,361.89366008193355,pelog4,/content/drive/MyDrive/dataset_saron/dataset_raw/wav/pelog4.1.1.wav
19,361.89503258590594,pelog4,/content/drive/MyDrive/dataset_saron/dataset_raw/wav/pelog4.1.2.wav
20,361.8857249894487,pelog4,/content/drive/MyDrive/dataset_saron/dataset_raw/wav/pelog4.1.3.wav
21,361.8375618616304,pelog4,/content/drive/MyDrive/dataset_saron/dataset_raw/wav/pelog4.2.1.wav
22,361.8274529445749,pelog4,/content/drive/MyDrive/dataset_saron/dataset_raw/wav/pelog4.2.2.wav
23,361.81387727496406,pelog4,/content/drive/MyDrive/dataset_saron/dataset_raw/wav/pelog4.2.3.wav
24,416.403346218984,pelog5,/content/drive/MyDrive/dataset_saron/dataset_raw/wav/pelog5.1.1.wav
25,416.4028809846153,pelog5,/content/drive/MyDrive/dataset_saron/dataset_raw/wav/pelog5.1.2.wav
26,416.39823595737977,pelog5,/content/drive/MyDrive/dataset_saron/dataset_raw/wav/pelog5.1.3.wav
27,416.38872444888483,pelog5,/content/drive/MyDrive/dataset_saron/dataset_raw/wav/pelog5.2.1.wav
28,416.422189146563,pelog5,/content/drive/MyDrive/dataset_saron/dataset_raw/wav/pelog5.2.2.wav
29,416.39314162440724,pelog5,/content/drive/MyDrive/dataset_saron/dataset_raw/wav/pelog5.2.3.wav
30,476.7278636577264,pelog6,/content/drive/MyDrive/dataset_saron/dataset_raw/wav/pelog6.1.1.wav
31,476.70917759544386,pelog6,/content/drive/MyDrive/dataset_saron/dataset_raw/wav/pelog6.1.2.wav
32,476.5675428780622,pelog6,/content/drive/MyDrive/dataset_saron/dataset_raw/wav/pelog6.1.3.wav
33,476.5182695595448,pelog6,/content/drive/MyDrive/dataset_saron/dataset_raw/wav/pelog6.2.1.wav
34,476.5166262194626,pelog6,/content/drive/MyDrive/dataset_saron/dataset_raw/wav/pelog6.2.2.wav
35,476.51268926826253,pelog6,/content/drive/MyDrive/dataset_saron/dataset_raw/wav/pelog6.2.3.wav
36,549.9145225647875,pelog7,/content/drive/MyDrive/dataset_saron/dataset_raw/wav/pelog7.1.1.wav
37,549.9090104713985,pelog7,/content/drive/MyDrive/dataset_saron/dataset_raw/wav/pelog7.1.2.wav
38,549.9023194689219,pelog7,/content/drive/MyDrive/dataset_saron/dataset_raw/wav/pelog7.1.3.wav
39,549.8396164872237,pelog7,/content/drive/MyDrive/dataset_saron/dataset_raw/wav/pelog7.2.1.wav
40,549.8770981694614,pelog7,/content/drive/MyDrive/dataset_saron/dataset_raw/wav/pelog7.2.2.wav
41,549.88927682208,pelog7,/content/drive/MyDrive/dataset_saron/dataset_raw/wav/pelog7.2.3.wav
